Gender,Rating_tier,Loyal_customer
Female,Mid Tier,Buyer
Male,Mid Tier,Buyer
Female,Mid Tier,NewBuyers
Female,Mid Tier,Buyer
Female,Mid Tier,MaxLoyalBuyer
Male,Low Tier,NewBuyers
Male,Top Tier,Buyer
Female,Top Tier,Buyer
Male,Mid Tier,Buyer
Female,Top Tier,Buyer
Male,Mid Tier,Buyer
Female,Mid Tier,Buyer
Male,Mid Tier,LoyalBuyer
Female,Low Tier,Buyer
Male,Mid Tier,Buyer
Male,Top Tier,MaxLoyalBuyer
Female,Low Tier,Buyer
Female,Mid Tier,Buyer
Female,Mid Tier,Buyer
Female,Mid Tier,Buyer
Female,Top Tier,Buyer
Female,Mid Tier,Buyer
Male,Top Tier,Buyer
Male,Mid Tier,Buyer
Female,Mid Tier,LoyalBuyer
Male,Mid Tier,NewBuyers
Female,Mid Tier,NewBuyers
Male,Mid Tier,MaxLoyalBuyer
Female,Mid Tier,NewBuyers
Male,Low Tier,Buyer
Male,Mid Tier,Buyer
Male,Top Tier,Buyer
Female,Mid Tier,NewBuyers
Female,Mid Tier,NewBuyers
Male,Mid Tier,Buyer
Female,Low Tier,Buyer
Female,Top Tier,Buyer
Male,Mid Tier,Buyer
Female,Mid Tier,Buyer
Male,Mid Tier,NewBuyers
Female,Mid Tier,Buyer
Male,Top Tier,NewBuyers
Female,Mid Tier,Buyer
Male,Top Tier,NewBuyers
Female,Low Tier,Buyer
Female,Mid Tier,Buyer
Male,Mid Tier,NewBuyers
Female,Mid Tier,Buyer
Female,Top Tier,Buyer
Female,Mid Tier,Buyer
Male,Low Tier,Buyer
Female,Top Tier,Buyer
Male,Mid Tier,NewBuyers
Female,Mid Tier,Buyer
Female,Mid Tier,Buyer
Female,Low Tier,NewBuyers
Female,Mid Tier,Buyer
Male,Mid Tier,Buyer
Male,Mid Tier,Buyer
Male,Mid Tier,NewBuyers
Male,Mid Tier,Buyer
Female,Top Tier,Buyer
Female,Mid Tier,Buyer
Male,Low Tier,NewBuyers
Male,Mid Tier,NewBuyers
Female,Mid Tier,NewBuyers
Male,Mid Tier,NewBuyers
Female,Mid Tier,Buyer
Female,Mid Tier,Buyer
Male,Mid Tier,NewBuyers
Male,Mid Tier,MaxLoyalBuyer
Male,Top Tier,NewBuyers
Male,Mid Tier,Buyer
Male,Mid Tier,NewBuyers
Female,Mid Tier,NewBuyers
